abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
iterCos,"\niterCos( iterator:Object )\n    Returns an iterator which iteratively computes the cosine.\n"
iterCosh,"\niterCosh( iterator:Object )\n    Returns an iterator which iteratively computes the hyperbolic cosine.\n"
iterCosineWave,"\niterCosineWave( [options:Object] )\n    Returns an iterator which generates a cosine wave.\n"
iterCosm1,"\niterCosm1( iterator:Object )\n    Returns an iterator which iteratively computes `cos(x) - 1`.\n"
iterCospi,"\niterCospi( iterator:Object )\n    Returns an iterator which computes the cosine of each iterated value times\n    π.\n"
iterCounter,"\niterCounter( iterator:Object )\n    Returns an iterator which iteratively computes the number of iterated\n    values.\n"
iterCovercos,"\niterCovercos( iterator:Object )\n    Returns an iterator which iteratively computes the coversed cosine.\n"
iterCoversin,"\niterCoversin( iterator:Object )\n    Returns an iterator which iteratively computes the coversed sine.\n"
iterCubesSeq,"\niterCubesSeq( [options:Object] )\n    Returns an iterator which generates a sequence of cubes.\n"
itercugmean,"\nitercugmean( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative geometric mean.\n"
itercuhmean,"\nitercuhmean( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative harmonic mean.\n"
itercumax,"\nitercumax( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative maximum value.\n"
itercumaxabs,"\nitercumaxabs( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative maximum absolute\n    value.\n"
itercumean,"\nitercumean( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative arithmetic mean.\n"
itercumeanabs,"\nitercumeanabs( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative arithmetic mean\n    of absolute values.\n"
itercumeanabs2,"\nitercumeanabs2( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative arithmetic mean\n    of squared absolute values.\n"
itercumidrange,"\nitercumidrange( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative mid-range.\n"
itercumin,"\nitercumin( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative minimum value.\n"
itercuminabs,"\nitercuminabs( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative minimum absolute\n    value.\n"
itercuprod,"\nitercuprod( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative product.\n"
itercurange,"\nitercurange( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative range.\n"
itercusum,"\nitercusum( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative sum.\n"
itercusumabs,"\nitercusumabs( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative sum of absolute\n    values.\n"
itercusumabs2,"\nitercusumabs2( iterator:Object )\n    Returns an iterator which iteratively computes a cumulative sum of squared\n    absolute values.\n"
iterDatespace,"\niterDatespace( start:integer|string|Date, stop:integer|string|Date[, \n  N:integer][, options:Object] )\n    Returns an iterator which returns evenly spaced dates over a specified\n    interval.\n"
iterDedupe,"\niterDedupe( iterator:Object[, limit:integer] )\n    Returns an iterator which removes consecutive duplicated values.\n"
iterDedupeBy,"\niterDedupeBy( iterator:Object, [limit:integer,] fcn:Function )\n    Returns an iterator which removes consecutive values that resolve to the\n    same value according to a provided function.\n"
iterDeg2rad,"\niterDeg2rad( iterator:Object )\n    Returns an iterator which iteratively converts an angle from degrees to\n    radians.\n"
iterDigamma,"\niterDigamma( iterator:Object )\n    Returns an iterator which iteratively evaluates the digamma function.\n"
iterDiracComb,"\niterDiracComb( [options:Object] )\n    Returns an iterator which generates a Dirac comb.\n"
iterDiracDelta,"\niterDiracDelta( iterator:Object )\n    Returns an iterator which iteratively evaluates the Dirac delta function.\n"
iterDivide,"\niterDivide( iter0:Object, ...iterator:Object )\n    Returns an iterator which performs element-wise division of two or more\n    iterators.\n"
iterDoWhileEach,"\niterDoWhileEach( iterator:Object, predicate:Function, fcn:Function[, \n  thisArg:any] )\n    Returns an iterator which invokes a function for each iterated value before\n    returning the iterated value until either a predicate function returns false\n    or the iterator has iterated over all values.\n"
iterEllipe,"\niterEllipe( iterator:Object )\n    Returns an iterator which iteratively computes the complete elliptic\n    integral of the second kind.\n"
iterEllipk,"\niterEllipk( iterator:Object )\n    Returns an iterator which iteratively computes the complete elliptic\n    integral of the first kind.\n"
iterEmpty,"\niterEmpty()\n    Returns an empty iterator.\n"
iterErf,"\niterErf( iterator:Object )\n    Returns an iterator which iteratively evaluates the error function.\n"
iterErfc,"\niterErfc( iterator:Object )\n    Returns an iterator which iteratively evaluates the complementary error\n    function.\n"
iterErfcinv,"\niterErfcinv( iterator:Object )\n    Returns an iterator which iteratively evaluates the inverse complementary\n    error function.\n"
iterErfinv,"\niterErfinv( iterator:Object )\n    Returns an iterator which iteratively evaluates the inverse error function.\n"
iterEta,"\niterEta( iterator:Object )\n    Returns an iterator which iteratively evaluates the Dirichlet eta function.\n"
iterEvenIntegersSeq,"\niterEvenIntegersSeq( [options:Object] )\n    Returns an iterator which generates an interleaved sequence of even\n    integers.\n"
iterEvery,"\niterEvery( iterator:Object )\n    Tests whether all iterated values are truthy.\n"
iterEveryBy,"\niterEveryBy( iterator:Object, predicate:Function[, thisArg:any ] )\n    Tests whether every iterated value passes a test implemented by a predicate\n    function.\n"
iterExp,"\niterExp( iterator:Object )\n    Returns an iterator which iteratively evaluates the natural exponential\n    function.\n"
iterExp2,"\niterExp2( iterator:Object )\n    Returns an iterator which iteratively evaluates the base `2` exponential\n    function.\n"
iterExp10,"\niterExp10( iterator:Object )\n    Returns an iterator which iteratively evaluates the base `10` exponential\n    function.\n"
iterExpit,"\niterExpit( iterator:Object )\n    Returns an iterator which iteratively evaluates the standard logistic\n    function.\n"
iterExpm1,"\niterExpm1( iterator:Object )\n    Returns an iterator which iteratively computes `exp(x) - 1`.\n"
iterExpm1rel,"\niterExpm1rel( iterator:Object )\n    Returns an iterator which iteratively evaluates the relative error\n    exponential.\n"
iterFactorial,"\niterFactorial( iterator:Object )\n    Returns an iterator which iteratively evaluates the factorial function.\n"
iterFactorialln,"\niterFactorialln( iterator:Object )\n    Returns an iterator which iteratively evaluates the natural logarithm of the\n    factorial function.\n"
iterFactorialsSeq,"\niterFactorialsSeq( [options:Object] )\n    Returns an iterator which generates a sequence of factorials.\n"
iterFibonacciSeq,"\niterFibonacciSeq( [options:Object] )\n    Returns an iterator which generates a Fibonacci sequence.\n"
iterFifthPowersSeq,"\niterFifthPowersSeq( [options:Object] )\n    Returns an iterator which generates a sequence of fifth powers.\n"
iterFill,"\niterFill( iterator:Object, value:any[, begin:integer[, end:integer]] )\n    Returns an iterator which replaces all values from a provided iterator from\n    a start index to an end index with a static value.\n"
iterFilter,"\niterFilter( iterator:Object, predicate:Function[, thisArg:any] )\n    Returns an iterator which filters a provided iterator's values according to\n    a predicate function.\n"
iterFilterMap,"\niterFilterMap( iterator:Object, fcn:Function[, thisArg:any] )\n    Returns an iterator which both filters and maps a provided iterator's\n    values.\n"
iterFirst,"\niterFirst( iterator:Object )\n    Returns the first iterated value.\n"
iterFlatTopPulse,"\niterFlatTopPulse( [options:Object] )\n    Returns an iterator which generates a flat top pulse waveform.\n"
iterFloor,"\niterFloor( iterator:Object )\n    Returns an iterator which rounds each iterated value toward negative\n    infinity.\n"
iterFloor2,"\niterFloor2( iterator:Object )\n    Returns an iterator which rounds each iterated value to the nearest power of\n    two toward negative infinity.\n"
iterFloor10,"\niterFloor10( iterator:Object )\n    Returns an iterator which rounds each iterated value to the nearest power of\n    10 toward negative infinity.\n"
iterFlow,"\niterFlow( methods:Object )\n    Returns a fluent interface iterator constructor with a customized prototype\n    based on provided methods.\n"
iterForEach,"\niterForEach( iterator:Object, fcn:Function[, thisArg:any] )\n    Returns an iterator which invokes a function for each iterated value before\n    returning the iterated value.\n"
iterFourthPowersSeq,"\niterFourthPowersSeq( [options:Object] )\n    Returns an iterator which generates a sequence of fourth powers.\n"
iterFresnelc,"\niterFresnelc( iterator:Object )\n    Returns an iterator which iteratively computes the Fresnel integral C(x).\n"
iterFresnels,"\niterFresnels( iterator:Object )\n    Returns an iterator which iteratively computes the Fresnel integral S(x).\n"
iterGamma,"\niterGamma( iterator:Object )\n    Returns an iterator which iteratively evaluates the gamma function.\n"
iterGamma1pm1,"\niterGamma1pm1( iterator:Object )\n    Returns an iterator which iteratively computes `gamma(x+1) - 1` without\n    cancellation errors for small `x`.\n"
iterGammaln,"\niterGammaln( iterator:Object )\n    Returns an iterator which iteratively evaluates the natural logarithm of the\n    gamma function.\n"
iterHacovercos,"\niterHacovercos( iterator:Object )\n    Returns an iterator which iteratively computes the half-value coversed\n    cosine.\n"
iterHacoversin,"\niterHacoversin( iterator:Object )\n    Returns an iterator which iteratively computes the half-value coversed sine.\n"
iterHannPulse,"\niterHannPulse( [options:Object] )\n    Returns an iterator which generates a Hann pulse waveform.\n"
iterHavercos,"\niterHavercos( iterator:Object )\n    Returns an iterator which iteratively computes the half-value versed cosine.\n"
iterHaversin,"\niterHaversin( iterator:Object )\n    Returns an iterator which iteratively computes the half-value versed sine.\n"
iterHead,"\niterHead( iterator:Object, n:integer )\n    Returns an iterator which returns the first `n` values of a provided\n    iterator.\n"
iterIncrspace,"\niterIncrspace( start:number, stop:number[, increment:number] )\n    Returns an iterator which returns evenly spaced numbers according to a\n    specified increment.\n"
iterIntegersSeq,"\niterIntegersSeq( [options:Object] )\n    Returns an iterator which generates an interleaved integer sequence.\n"
iterIntersection,"\niterIntersection( iter0:Object, ...iterator:Object )\n    Returns an iterator which returns the intersection of two or more iterators.\n"
iterIntersectionByHash,"\niterIntersectionByHash( iter0:Object, ...iterator:Object, hashFcn:Function[, \n  thisArg:any] )\n    Returns an iterator which returns the intersection of two or more iterators\n    according to a hash function.\n"
iterInv,"\niterInv( iterator:Object )\n    Returns an iterator which iteratively computes the multiplicative inverse.\n"
iterLanczosPulse,"\niterLanczosPulse( [options:Object] )\n    Returns an iterator which generates a Lanczos pulse waveform.\n"
iterLast,"\niterLast( iterator:Object )\n    Consumes an entire iterator and returns the last iterated value.\n"
iterLength,"\niterLength( iterator:Object )\n    Consumes an entire iterator and returns the number of iterated values.\n"
iterLinspace,"\niterLinspace( start:number, stop:number[, N:integer] )\n    Returns an iterator which returns evenly spaced numbers over a specified\n    interval.\n"
iterLn,"\niterLn( iterator:Object )\n    Returns an iterator which iteratively evaluates the natural logarithm.\n"
iterLog,"\niterLog( x:Object|number, b:Object|number )\n    Returns an iterator which iteratively computes the base `b` logarithm.\n"
iterLog1mexp,"\niterLog1mexp( iterator:Object )\n    Returns an iterator which iteratively evaluates the natural logarithm of\n    `1-exp(-|x|)`.\n"
iterLog1p,"\niterLog1p( iterator:Object )\n    Returns an iterator which iteratively evaluates the natural logarithm of\n    `1+x`.\n"
iterLog1pexp,"\niterLog1pexp( iterator:Object )\n    Returns an iterator which iteratively evaluates the natural logarithm of\n    `1+exp(x)`.\n"
iterLog2,"\niterLog2( iterator:Object )\n    Returns an iterator which iteratively evaluates the binary logarithm.\n"
iterLog10,"\niterLog10( iterator:Object )\n    Returns an iterator which iteratively evaluates the common logarithm\n    (logarithm with base 10).\n"
iterLogit,"\niterLogit( iterator:Object )\n    Returns an iterator which iteratively evaluates the logit function.\n"
iterLogspace,"\niterLogspace( start:number, stop:number[, N:integer][, options:Object] )\n    Returns an iterator which returns evenly spaced numbers on a log scale.\n"
iterLucasSeq,"\niterLucasSeq( [options:Object] )\n    Returns an iterator which generates a Lucas sequence.\n"
iterMap,"\niterMap( iterator:Object, fcn:Function[, thisArg:any] )\n    Returns an iterator which invokes a function for each iterated value.\n"
iterMapN,"\niterMapN( iter0:Object, ...iterator:Object, fcn:Function[, thisArg:any] )\n    Returns an iterator which transforms iterated values from two or more\n    iterators by applying the iterated values as arguments to a provided\n    function.\n"
itermax,"\nitermax( iterator:Object )\n    Computes the maximum value of all iterated values.\n"
itermaxabs,"\nitermaxabs( iterator:Object )\n    Computes the maximum absolute value of all iterated values.\n"
itermean,"\nitermean( iterator:Object )\n    Computes an arithmetic mean over all iterated values.\n"
itermeanabs,"\nitermeanabs( iterator:Object )\n    Computes an arithmetic mean of absolute values for all iterated values.\n"
itermeanabs2,"\nitermeanabs2( iterator:Object )\n    Computes an arithmetic mean of squared absolute values for all iterated\n    values.\n"
itermidrange,"\nitermidrange( iterator:Object )\n    Computes the mid-range of all iterated values.\n"
itermin,"\nitermin( iterator:Object )\n    Computes the minimum value of all iterated values.\n"
iterminabs,"\niterminabs( iterator:Object )\n    Computes the minimum absolute value of all iterated values.\n"
itermmax,"\nitermmax( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving maximum value.\n"
itermmaxabs,"\nitermmaxabs( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving maximum absolute\n    value.\n"
itermmean,"\nitermmean( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving arithmetic mean.\n"
itermmeanabs,"\nitermmeanabs( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving arithmetic mean of\n    absolute values.\n"
itermmeanabs2,"\nitermmeanabs2( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving arithmetic mean of\n    squared absolute values.\n"
itermmidrange,"\nitermmidrange( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving mid-range.\n"
itermmin,"\nitermmin( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving minimum value.\n"
itermminabs,"\nitermminabs( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving minimum absolute\n    value.\n"
iterMod,"\niterMod( iter0:Object, ...iterator:Object )\n    Returns an iterator which performs an element-wise modulo operation of two\n    or more iterators.\n"
itermprod,"\nitermprod( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving product.\n"
itermrange,"\nitermrange( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving range.\n"
itermsum,"\nitermsum( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving sum.\n"
itermsumabs,"\nitermsumabs( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving sum of absolute\n    values.\n"
itermsumabs2,"\nitermsumabs2( iterator:Object, W:integer )\n    Returns an iterator which iteratively computes a moving sum of squared\n    absolute values.\n"
iterMultiply,"\niterMultiply( iter0:Object, ...iterator:Object )\n    Returns an iterator which performs element-wise multiplication of two or\n    more iterators.\n"
iterNegaFibonacciSeq,"\niterNegaFibonacciSeq( [options:Object] )\n    Returns an iterator which generates a negaFibonacci sequence.\n"
iterNegaLucasSeq,"\niterNegaLucasSeq( [options:Object] )\n    Returns an iterator which generates a negaLucas sequence.\n"
iterNegativeEvenIntegersSeq,"\niterNegativeEvenIntegersSeq( [options:Object] )\n    Returns an iterator which generates a sequence of negative even integers.\n"
iterNegativeIntegersSeq,"\niterNegativeIntegersSeq( [options:Object] )\n    Returns an iterator which generates a negative integer sequence.\n"
iterNegativeOddIntegersSeq,"\niterNegativeOddIntegersSeq( [options:Object] )\n    Returns an iterator which generates a sequence of negative odd integers.\n"
iterNone,"\niterNone( iterator:Object )\n    Tests whether all iterated values are falsy.\n"
iterNoneBy,"\niterNoneBy( iterator:Object, predicate:Function[, thisArg:any ] )\n    Tests whether every iterated value fails a test implemented by a predicate\n    function.\n"
iterNonFibonacciSeq,"\niterNonFibonacciSeq( [options:Object] )\n    Returns an iterator which generates a non-Fibonacci integer sequence.\n"
iterNonNegativeEvenIntegersSeq,"\niterNonNegativeEvenIntegersSeq( [options:Object] )\n    Returns an iterator which generates a sequence of nonnegative even integers.\n"
iterNonNegativeIntegersSeq,"\niterNonNegativeIntegersSeq( [options:Object] )\n    Returns an iterator which generates a nonnegative integer sequence.\n"
iterNonPositiveEvenIntegersSeq,"\niterNonPositiveEvenIntegersSeq( [options:Object] )\n    Returns an iterator which generates a sequence of nonpositive even integers.\n"
iterNonPositiveIntegersSeq,"\niterNonPositiveIntegersSeq( [options:Object] )\n    Returns an iterator which generates a nonpositive integer sequence.\n"
iterNonSquaresSeq,"\niterNonSquaresSeq( [options:Object] )\n    Returns an iterator which generates a sequence of nonsquares.\n"
iterNth,"\niterNth( iterator:Object, n:integer )\n    Returns the nth iterated value.\n"
iterOddIntegersSeq,"\niterOddIntegersSeq( [options:Object] )\n    Returns an iterator which generates an interleaved sequence of odd integers.\n"
iterPeriodicSinc,"\niterPeriodicSinc( n:integer[, options:Object] )\n    Returns an iterator which generates a periodic sinc waveform.\n"
iterPipeline,"\niterPipeline( iterFcn:Function|Array[, ...iterFcn:Function] )\n    Returns an iterator pipeline.\n"
iterPop,"\niterPop( iterator:Object[, clbk:Function[, thisArg:any]] )\n    Returns an iterator which skips the last value of a provided iterator.\n"
iterPositiveEvenIntegersSeq,"\niterPositiveEvenIntegersSeq( [options:Object] )\n    Returns an iterator which generates a sequence of positive even integers.\n"
iterPositiveIntegersSeq,"\niterPositiveIntegersSeq( [options:Object] )\n    Returns an iterator which generates a positive integer sequence.\n"
iterPositiveOddIntegersSeq,"\niterPositiveOddIntegersSeq( [options:Object] )\n    Returns an iterator which generates a sequence of positive odd integers.\n"
iterPow,"\niterPow( base:Object|number, exponent:Object|number )\n    Returns an iterator which iteratively evaluates the exponential function.\n"
iterPrimesSeq,"\niterPrimesSeq( [options:Object] )\n    Returns an iterator which generates a sequence of prime numbers.\n"
iterprod,"\niterprod( iterator:Object )\n    Computes the product of all iterated values.\n"
iterPulse,"\niterPulse( [options:Object] )\n    Returns an iterator which generates a pulse waveform.\n"
iterPush,"\niterPush( iterator:Object, ...items:any )\n    Returns an iterator which appends additional values to the end of a provided\n    iterator.\n"
iterRad2deg,"\niterRad2deg( iterator:Object )\n    Returns an iterator which iteratively converts an angle from radians to\n    degrees.\n"
iterRamp,"\niterRamp( iterator:Object )\n    Returns an iterator which iteratively evaluates the ramp function.\n"
iterrange,"\niterrange( iterator:Object )\n    Computes the range of all iterated values.\n"
iterReject,"\niterReject( iterator:Object, predicate:Function[, thisArg:any] )\n    Returns an iterator which rejects a provided iterator's values according to\n    a predicate function.\n"
iterReplicate,"\niterReplicate( iterator:Object, n:integer )\n    Returns an iterator which replicates each iterated value `n` times.\n"
iterReplicateBy,"\niterReplicateBy( iterator:Object, fcn:Function[, thisArg:any] )\n    Returns an iterator which replicates each iterated value according to a\n    provided function.\n"
iterRound,"\niterRound( iterator:Object )\n    Returns an iterator which rounds each iterated value to the nearest integer.\n"
iterRound2,"\niterRound2( iterator:Object )\n    Returns an iterator which rounds each iterated value to the nearest power of\n    two on a linear scale.\n"
iterRound10,"\niterRound10( iterator:Object )\n    Returns an iterator which rounds each iterated value to the nearest power of\n    10 on a linear scale.\n"
iterRsqrt,"\niterRsqrt( iterator:Object )\n    Returns an iterator which iteratively computes the reciprocal (inverse)\n    square root.\n"
iterSawtoothWave,"\niterSawtoothWave( [options:Object] )\n    Returns an iterator which generates a sawtooth wave.\n"
iterShift,"\niterShift( iterator:Object[, clbk:Function[, thisArg:any]] )\n    Returns an iterator which skips the first value of a provided iterator.\n"
iterSignum,"\niterSignum( iterator:Object )\n    Returns an iterator which iteratively evaluates the signum function.\n"
iterSin,"\niterSin( iterator:Object )\n    Returns an iterator which iteratively computes the sine.\n"
iterSinc,"\niterSinc( iterator:Object )\n    Returns an iterator which iteratively computes the normalized cardinal sine.\n"
iterSineWave,"\niterSineWave( [options:Object] )\n    Returns an iterator which generates a sine wave.\n"
iterSinh,"\niterSinh( iterator:Object )\n    Returns an iterator which iteratively evaluates the hyperbolic sine.\n"
iterSinpi,"\niterSinpi( iterator:Object )\n    Returns an iterator which computes the sine of each iterated value times π.\n"
iterSlice,"\niterSlice( iterator:Object[, begin:integer[, end:integer]] )\n    Returns an iterator which returns a subsequence of iterated values from a\n    provided iterator.\n"
iterSome,"\niterSome( iterator:Object, n:number )\n    Tests whether at least `n` iterated values are truthy.\n"
iterSomeBy,"\niterSomeBy( iterator:Object, n:integer, predicate:Function[, thisArg:any ] )\n    Tests whether at least `n` iterated values pass a test implemented by a\n    predicate function.\n"
iterSpence,"\niterSpence( iterator:Object )\n    Returns an iterator which iteratively evaluates Spence's function.\n"
iterSqrt,"\niterSqrt( iterator:Object )\n    Returns an iterator which iteratively computes the principal square root.\n"
iterSqrt1pm1,"\niterSqrt1pm1( iterator:Object )\n    Returns an iterator which iteratively computes `sqrt(1+x) - 1` more \n    accurately for small `x`.\n"
iterSquaredTriangularSeq,"\niterSquaredTriangularSeq( [options:Object] )\n    Returns an iterator which generates a sequence of squared triangular\n    numbers.\n"
iterSquaresSeq,"\niterSquaresSeq( [options:Object] )\n    Returns an iterator which generates a sequence of squares.\n"
iterSquareWave,"\niterSquareWave( [options:Object] )\n    Returns an iterator which generates a square wave.\n"
iterstdev,"\niterstdev( iterator:Object[, mean:number] )\n    Computes a correct sample standard deviation over all iterated values.\n"
iterStep,"\niterStep( start:number, increment:number[, N:number] )\n    Returns an iterator which returns a sequence of numbers according to a\n    specified increment.\n"
iterStrided,"\niterStrided( iterator:Object, stride:integer[, offset:integer[, \n  eager:boolean]] )\n    Returns an iterator which steps by a specified amount.\n"
iterStridedBy,"\niterStridedBy( iterator:Object, fcn:Function[, offset:integer[, \n  eager:boolean]][, thisArg:any] )\n    Returns an iterator which steps according to a provided callback function.\n"
iterSubtract,"\niterSubtract( iter0:Object, ...iterator:Object )\n    Returns an iterator which performs element-wise subtraction of two or more\n    iterators.\n"
itersum,"\nitersum( iterator:Object )\n    Computes the sum of all iterated values.\n"
itersumabs,"\nitersumabs( iterator:Object )\n    Computes the sum of absolute values for all iterated values.\n"
itersumabs2,"\nitersumabs2( iterator:Object )\n    Computes the sum of squared absolute values for all iterated values.\n"
iterTan,"\niterTan( iterator:Object )\n    Returns an iterator which iteratively evaluates the tangent.\n"
iterTanh,"\niterTanh( iterator:Object )\n    Returns an iterator which iteratively evaluates the hyperbolic tangent.\n"
iterThunk,"\niterThunk( iterFcn:Function[, ...args:any] )\n    Returns an iterator \"thunk\".\n"
iterTriangleWave,"\niterTriangleWave( [options:Object] )\n    Returns an iterator which generates a triangle wave.\n"
iterTriangularSeq,"\niterTriangularSeq( [options:Object] )\n    Returns an iterator which generates a sequence of triangular numbers.\n"
iterTribonnaciSeq,"\niterTribonnaciSeq( [options:Object] )\n    Returns an iterator which generates a Tribonacci sequence.\n    \n    The returned iterator can only generate the first 64 Tribonacci numbers, as\n    larger Tribonacci numbers cannot be safely represented in double-precision\n    floating-point format.\n"
iterTrigamma,"\niterTrigamma( iterator:Object )\n    Returns an iterator which iteratively evaluates the trigamma function.\n"
iterTrunc,"\niterTrunc( iterator:Object )\n    Returns an iterator which rounds each iterated value toward zero.\n"
iterTrunc2,"\niterTrunc2( iterator:Object )\n    Returns an iterator which rounds each iterated value to the nearest power of\n    two toward zero.\n"
iterTrunc10,"\niterTrunc10( iterator:Object )\n    Returns an iterator which rounds each iterated value to the nearest power of\n    10 toward zero.\n"
iterUnion,"\niterUnion( iter0:Object, ...iterator:Object )\n    Returns an iterator which returns the union of two or more iterators.\n"
iterUnique,"\niterUnique( iterator:Object )\n    Returns an iterator which returns unique values.\n"
iterUniqueBy,"\niterUniqueBy( iterator:Object, predicate:Function[, thisArg:any] )\n    Returns an iterator which returns unique values according to a predicate\n    function.\n"
iterUniqueByHash,"\niterUniqueByHash( iterator:Object, hashFcn:Function[, thisArg:any] )\n    Returns an iterator which returns unique values according to a hash\n    function.\n"
iterUnitspace,"\niterUnitspace( start:number[, stop:number] )\n    Returns an iterator which returns numbers incremented by one.\n"
iterUnshift,"\niterUnshift( iterator:Object, ...items:any )\n    Returns an iterator which prepends values to the beginning of a provided\n    iterator.\n"
iterUntilEach,"\niterUntilEach( iterator:Object, predicate:Function, fcn:Function[, \n  thisArg:any] )\n    Returns an iterator which invokes a function for each iterated value before\n    returning the iterated value until either a predicate function returns true\n    or the iterator has iterated over all values.\n"
itervariance,"\nitervariance( iterator:Object[, mean:number] )\n    Computes an unbiased sample variance over all iterated values.\n"
iterVercos,"\niterVercos( iterator:Object )\n    Returns an iterator which iteratively computes the versed cosine.\n"
iterVersin,"\niterVersin( iterator:Object )\n    Returns an iterator which iteratively computes the versed sine.\n"
iterWhileEach,"\niterWhileEach( iterator:Object, predicate:Function, fcn:Function[, \n  thisArg:any] )\n    Returns an iterator which invokes a function for each iterated value before\n    returning the iterated value until either a predicate function returns false\n    or the iterator has iterated over all values.\n"
iterZeta,"\niterZeta( iterator:Object )\n    Returns an iterator which iteratively evaluates the Riemann zeta function.\n"
joinStream,"\njoinStream( [options:Object] )\n    Returns a transform stream which joins streamed data.\n"
joinStream.factory,"\njoinStream.factory( [options:Object] )\n    Returns a function for creating transform streams for joined streamed data.\n"
joinStream.objectMode,"\njoinStream.objectMode( [options:Object] )\n    Returns an \"objectMode\" transform stream for joining streamed data.\n"
kde2d,"\nkde2d( x:Array<number>, y:Array<number>[, options:Object] )\n    Two-dimensional kernel density estimation.\n"
kebabcase,"\nkebabcase( str:string )\n    Converts a string to kebab case.\n"
keyBy,"\nkeyBy( collection:Array|TypedArray|Object, fcn:Function[, thisArg:any] )\n    Converts a collection to an object whose keys are determined by a provided\n    function and whose values are the collection values.\n"
keyByRight,"\nkeyByRight( collection:Array|TypedArray|Object, fcn:Function[, thisArg:any] )\n    Converts a collection to an object whose keys are determined by a provided\n    function and whose values are the collection values, iterating from right to\n    left.\n"
keysIn,"\nkeysIn( obj:any )\n    Returns an array of an object's own and inherited enumerable property\n    names.\n"
kruskalTest,"\nkruskalTest( ...x:Array[, options:Object] )\n    Computes the Kruskal-Wallis test for equal medians.\n"
kstest,"\nkstest( x:Array<number>, y:Function|string[, ...params:number][, \n  options:Object] )\n    Computes a Kolmogorov-Smirnov goodness-of-fit test.\n"
last,"\nlast( str:string[, n:integer][, options:Object] )\n    Returns the last character(s) of a string.\n"
leveneTest,"\nleveneTest( x:Array<number>[, ...y:Array<number>[, options:Object]] )\n    Computes Levene's test for equal variances.\n"
LinkedList,"\nLinkedList()\n    Linked list constructor.\n"
linspace,"\nlinspace( start:number|ComplexLike, stop:number|ComplexLike, length:integer[, \n  options:Object] )\n    Generates a linearly spaced array over a specified interval.\n"
linspace.assign,"\nlinspace.assign( start:number|ComplexLike, stop:number|ComplexLike, \n  out:ArrayLikeObject[, options:Object] )\n    Generates a linearly spaced sequence over a specified interval and assigns\n    the results to a provided output array.\n"
LIU_NEGATIVE_OPINION_WORDS_EN,"\nLIU_NEGATIVE_OPINION_WORDS_EN()\n    Returns a list of negative opinion words.\n"
LIU_POSITIVE_OPINION_WORDS_EN,"\nLIU_POSITIVE_OPINION_WORDS_EN()\n    Returns a list of positive opinion words.\n"
LN_HALF,"\nLN_HALF\n    Natural logarithm of `1/2`.\n"
LN_PI,"\nLN_PI\n    Natural logarithm of the mathematical constant `π`.\n"
LN_SQRT_TWO_PI,"\nLN_SQRT_TWO_PI\n    Natural logarithm of the square root of `2π`.\n"
LN_TWO_PI,"\nLN_TWO_PI\n    Natural logarithm of `2π`.\n"
LN2,"\nLN2\n    Natural logarithm of `2`.\n"
LN10,"\nLN10\n    Natural logarithm of `10`.\n"
LOG2E,"\nLOG2E\n    Base 2 logarithm of Euler's number.\n"
LOG10E,"\nLOG10E\n    Base 10 logarithm of Euler's number.\n"
logspace,"\nlogspace( a:number, b:number[, length:integer] )\n    Generates a logarithmically spaced numeric array between `10^a` and `10^b`.\n"
lowercase,"\nlowercase( str:string )\n    Converts a string to lowercase.\n"
lowercaseKeys,"\nlowercaseKeys( obj:Object )\n    Converts each object key to lowercase.\n"
lowess,"\nlowess( x:Array<number>, y:Array<number>[, options:Object] )\n    Locally-weighted polynomial regression via the LOWESS algorithm.\n"
lpad,"\nlpad( str:string, len:integer[, pad:string] )\n    Left pads a string such that the padded string has a length of at least\n    `len`.\n"
