"@stdlib/array/base/arraylike2object",mjV
"@stdlib/stats/base/dists/degenerate/mean",pwz
"@stdlib/stats/base/dists/degenerate/median",evB
"@stdlib/stats/base/dists/degenerate/mgf",88A
"@stdlib/stats/base/dists/degenerate/mode",q26
"@stdlib/stats/base/dists/degenerate",wH7
"@stdlib/stats/base/dists/degenerate/pdf",pU7
"@stdlib/stats/base/dists/degenerate/pmf",sjL
"@stdlib/stats/base/dists/degenerate/quantile",zCa
"@stdlib/stats/base/dists/degenerate/stdev",h3s
"@stdlib/stats/base/dists/degenerate/variance",qwv
"@stdlib/stats/base/dists/discrete-uniform/cdf",bcD
"@stdlib/stats/base/dists/discrete-uniform/ctor",tYH
"@stdlib/stats/base/dists/discrete-uniform/entropy",oNK
"@stdlib/stats/base/dists/discrete-uniform/kurtosis",U1b
"@stdlib/stats/base/dists/discrete-uniform/logcdf",BcT
"@stdlib/stats/base/dists/discrete-uniform/logpmf",DlM
"@stdlib/stats/base/dists/discrete-uniform/mean",Vk5
"@stdlib/stats/base/dists/discrete-uniform/median",Cc1
"@stdlib/stats/base/dists/discrete-uniform/mgf",2Ew
"@stdlib/stats/base/dists/discrete-uniform",lMa
"@stdlib/stats/base/dists/discrete-uniform/pmf",Wte
"@stdlib/stats/base/dists/discrete-uniform/quantile",iEY
"@stdlib/stats/base/dists/discrete-uniform/skewness",LV9
"@stdlib/stats/base/dists/discrete-uniform/stdev",0LQ
"@stdlib/stats/base/dists/discrete-uniform/variance",yNp
"@stdlib/stats/base/dists/erlang/cdf",ryC
"@stdlib/stats/base/dists/erlang/ctor",BwV
"@stdlib/stats/base/dists/erlang/entropy",XMG
"@stdlib/stats/base/dists/erlang/kurtosis",2Ly
"@stdlib/stats/base/dists/erlang/logpdf",eWf
"@stdlib/stats/base/dists/erlang/mean",TT0
"@stdlib/stats/base/dists/erlang/mgf",wOG
"@stdlib/stats/base/dists/erlang/mode",N4C
"@stdlib/stats/base/dists/erlang",XII
"@stdlib/stats/base/dists/erlang/pdf",STJ
"@stdlib/stats/base/dists/erlang/quantile",eUN
"@stdlib/stats/base/dists/erlang/skewness",yUk
"@stdlib/stats/base/dists/erlang/stdev",jYH
"@stdlib/stats/base/dists/erlang/variance",58N
"@stdlib/stats/base/dists/exponential/cdf",ipp
"@stdlib/stats/base/dists/exponential/ctor",f2U
"@stdlib/stats/base/dists/exponential/entropy",YKw
"@stdlib/stats/base/dists/exponential/kurtosis",EhZ
"@stdlib/stats/base/dists/exponential/logcdf",kg1
"@stdlib/stats/base/dists/exponential/logpdf",c40
"@stdlib/stats/base/dists/exponential/mean",CDE
"@stdlib/stats/base/dists/exponential/median",xYt
"@stdlib/stats/base/dists/exponential/mgf",LCP
"@stdlib/stats/base/dists/exponential/mode",LIf
"@stdlib/stats/base/dists/exponential",a6a
"@stdlib/stats/base/dists/exponential/pdf",kvf
"@stdlib/stats/base/dists/exponential/quantile",RXp
"@stdlib/stats/base/dists/exponential/skewness",iAG
"@stdlib/stats/base/dists/exponential/stdev",nkx
"@stdlib/stats/base/dists/exponential/variance",MFj
"@stdlib/stats/base/dists/f/cdf",blp
"@stdlib/stats/base/dists/f/ctor",Vw3
"@stdlib/stats/base/dists/f/entropy",iLb
"@stdlib/stats/base/dists/f/kurtosis",7jg
"@stdlib/stats/base/dists/f/mean",yyj
"@stdlib/stats/base/dists/f/mode",Ry3
"@stdlib/stats/base/dists/f",cTb
"@stdlib/stats/base/dists/f/pdf",aac
"@stdlib/stats/base/dists/f/quantile",Hw5
"@stdlib/stats/base/dists/f/skewness",Vtu
"@stdlib/stats/base/dists/f/stdev",DTJ
"@stdlib/stats/base/dists/f/variance",1Fe
"@stdlib/stats/base/dists/frechet/cdf",9vn
"@stdlib/stats/base/dists/frechet/ctor",cYN
"@stdlib/stats/base/dists/frechet/entropy",CcI
"@stdlib/stats/base/dists/frechet/kurtosis",ddP
"@stdlib/stats/base/dists/frechet/logcdf",CPs
"@stdlib/stats/base/dists/frechet/logpdf",Afl
"@stdlib/stats/base/dists/frechet/mean",jk4
"@stdlib/stats/base/dists/frechet/median",h2k
"@stdlib/stats/base/dists/frechet/mode",9jX
"@stdlib/stats/base/dists/frechet",vOx
"@stdlib/stats/base/dists/frechet/pdf",SWb
"@stdlib/stats/base/dists/frechet/quantile",GHV
"@stdlib/stats/base/dists/frechet/skewness",w8d
"@stdlib/stats/base/dists/frechet/stdev",z9z
"@stdlib/stats/base/dists/frechet/variance",XiF
"@stdlib/stats/base/dists/gamma/cdf",ZRp
"@stdlib/stats/base/dists/gamma/ctor",LXe
"@stdlib/stats/base/dists/gamma/entropy",YXX
"@stdlib/stats/base/dists/gamma/kurtosis",B7B
"@stdlib/stats/base/dists/gamma/logcdf",PTW
"@stdlib/stats/base/dists/gamma/logpdf",N2V
"@stdlib/stats/base/dists/gamma/mean",dZy
"@stdlib/stats/base/dists/gamma/mgf",RWO
"@stdlib/stats/base/dists/gamma/mode",G5M
"@stdlib/stats/base/dists/gamma",HW3
"@stdlib/stats/base/dists/gamma/pdf",O0z
"@stdlib/stats/base/dists/gamma/quantile",tRa
"@stdlib/stats/base/dists/gamma/skewness",jwQ
"@stdlib/stats/base/dists/gamma/stdev",lxA
"@stdlib/stats/base/dists/gamma/variance",oSR
"@stdlib/stats/base/dists/geometric/cdf",Bu5
"@stdlib/stats/base/dists/geometric/ctor",96K
"@stdlib/stats/base/dists/geometric/entropy",btw
"@stdlib/stats/base/dists/geometric/kurtosis",Nrj
"@stdlib/stats/base/dists/geometric/logcdf",hOU
"@stdlib/stats/base/dists/geometric/logpmf",Wse
"@stdlib/stats/base/dists/geometric/mean",rG5
"@stdlib/stats/base/dists/geometric/median",XHe
"@stdlib/stats/base/dists/geometric/mgf",tcl
"@stdlib/stats/base/dists/geometric/mode",lzX
"@stdlib/stats/base/dists/geometric",OeO
"@stdlib/stats/base/dists/geometric/pmf",4Fl
"@stdlib/stats/base/dists/geometric/quantile",nrY
"@stdlib/stats/base/dists/geometric/skewness",hSh
"@stdlib/stats/base/dists/geometric/stdev",63k
"@stdlib/stats/base/dists/geometric/variance",cNc
"@stdlib/stats/base/dists/gumbel/cdf",P1v
"@stdlib/stats/base/dists/gumbel/ctor",zG6
"@stdlib/stats/base/dists/gumbel/entropy",8Hw
"@stdlib/stats/base/dists/gumbel/kurtosis",cyz
"@stdlib/stats/base/dists/gumbel/logcdf",JSq
"@stdlib/stats/base/dists/gumbel/logpdf",0C3
"@stdlib/stats/base/dists/gumbel/mean",e3D
"@stdlib/stats/base/dists/gumbel/median",14d
"@stdlib/stats/base/dists/gumbel/mgf",WL6
"@stdlib/stats/base/dists/gumbel/mode",e9I
"@stdlib/stats/base/dists/gumbel",5YR
"@stdlib/stats/base/dists/gumbel/pdf",5Vs
"@stdlib/stats/base/dists/gumbel/quantile",l3D
"@stdlib/stats/base/dists/gumbel/skewness",22n
"@stdlib/stats/base/dists/gumbel/stdev",Onc
"@stdlib/stats/base/dists/gumbel/variance",FHX
"@stdlib/stats/base/dists/hypergeometric/cdf",Ii2
"@stdlib/stats/base/dists/hypergeometric/ctor",3KR
"@stdlib/stats/base/dists/hypergeometric/kurtosis",4uu
"@stdlib/stats/base/dists/hypergeometric/logpmf",BUB
"@stdlib/stats/base/dists/hypergeometric/mean",oKn
"@stdlib/stats/base/dists/hypergeometric/mode",4uz
"@stdlib/stats/base/dists/hypergeometric",Mub
"@stdlib/stats/base/dists/hypergeometric/pmf",6Gb
"@stdlib/stats/base/dists/hypergeometric/quantile",vkH
"@stdlib/stats/base/dists/hypergeometric/skewness",tFl
"@stdlib/stats/base/dists/hypergeometric/stdev",3w2
"@stdlib/stats/base/dists/hypergeometric/variance",UwZ
"@stdlib/stats/base/dists/invgamma/cdf",69U
"@stdlib/stats/base/dists/invgamma/ctor",n2P
"@stdlib/stats/base/dists/invgamma/entropy",A71
"@stdlib/stats/base/dists/invgamma/kurtosis",xrD
"@stdlib/stats/base/dists/invgamma/logpdf",4hs
"@stdlib/stats/base/dists/invgamma/mean",3k7
"@stdlib/stats/base/dists/invgamma/mode",YU5
"@stdlib/stats/base/dists/invgamma",hWN
"@stdlib/stats/base/dists/invgamma/pdf",xa5
"@stdlib/stats/base/dists/invgamma/quantile",h3E
"@stdlib/stats/base/dists/invgamma/skewness",btd
"@stdlib/stats/base/dists/invgamma/stdev",PRO
"@stdlib/stats/base/dists/invgamma/variance",x9U
"@stdlib/stats/base/dists/kumaraswamy/cdf",LnD
"@stdlib/stats/base/dists/kumaraswamy/ctor",RS3
"@stdlib/stats/base/dists/kumaraswamy/kurtosis",jDL
"@stdlib/stats/base/dists/kumaraswamy/logcdf",WpN
"@stdlib/stats/base/dists/kumaraswamy/logpdf",d9Z
"@stdlib/stats/base/dists/kumaraswamy/mean",d5a
"@stdlib/stats/base/dists/kumaraswamy/median",gHl
"@stdlib/stats/base/dists/kumaraswamy/mode",VPC
"@stdlib/stats/base/dists/kumaraswamy",AhU
"@stdlib/stats/base/dists/kumaraswamy/pdf",wMe
"@stdlib/stats/base/dists/kumaraswamy/quantile",NnL
"@stdlib/stats/base/dists/kumaraswamy/skewness",DQj
"@stdlib/stats/base/dists/kumaraswamy/stdev",4Ag
"@stdlib/stats/base/dists/kumaraswamy/variance",DPU
"@stdlib/stats/base/dists/laplace/cdf",foJ
"@stdlib/stats/base/dists/laplace/ctor",t9z
"@stdlib/stats/base/dists/laplace/entropy",E92
"@stdlib/stats/base/dists/laplace/kurtosis",JmG
"@stdlib/stats/base/dists/laplace/logcdf",wZA
"@stdlib/stats/base/dists/laplace/logpdf",pkS
"@stdlib/stats/base/dists/laplace/mean",QgI
"@stdlib/stats/base/dists/laplace/median",Jdj
"@stdlib/stats/base/dists/laplace/mgf",pAN
"@stdlib/stats/base/dists/laplace/mode",9Z8
"@stdlib/stats/base/dists/laplace",uw1
"@stdlib/stats/base/dists/laplace/pdf",hyB
"@stdlib/stats/base/dists/laplace/quantile",O7k
"@stdlib/stats/base/dists/laplace/skewness",Icg
"@stdlib/stats/base/dists/laplace/stdev",B0T
"@stdlib/stats/base/dists/laplace/variance",3DU
"@stdlib/stats/base/dists/levy/cdf",7Y7
"@stdlib/stats/base/dists/levy/ctor",gfo
"@stdlib/stats/base/dists/levy/entropy",tKx
"@stdlib/stats/base/dists/levy/logcdf",Ds3
"@stdlib/stats/base/dists/levy/logpdf",Esk
"@stdlib/stats/base/dists/levy/mean",mOO
"@stdlib/stats/base/dists/levy/median",2sB
"@stdlib/stats/base/dists/levy/mode",BGU
"@stdlib/stats/base/dists/levy",dRI
"@stdlib/stats/base/dists/levy/pdf",hx0
"@stdlib/stats/base/dists/levy/quantile",45U
"@stdlib/stats/base/dists/levy/stdev",1PK
"@stdlib/stats/base/dists/levy/variance",eiW
"@stdlib/stats/base/dists/logistic/cdf",qLK
"@stdlib/stats/base/dists/logistic/ctor",jZ1
"@stdlib/stats/base/dists/logistic/entropy",JRA
"@stdlib/stats/base/dists/logistic/kurtosis",eqp
"@stdlib/stats/base/dists/logistic/logcdf",VgS
"@stdlib/stats/base/dists/logistic/logpdf",lqC
"@stdlib/stats/base/dists/logistic/mean",S4V
"@stdlib/stats/base/dists/logistic/median",exv
"@stdlib/stats/base/dists/logistic/mgf",B4C
"@stdlib/stats/base/dists/logistic/mode",rjd
"@stdlib/stats/base/dists/logistic",oOX
"@stdlib/stats/base/dists/logistic/pdf",NHq
"@stdlib/stats/base/dists/logistic/quantile",qCG
"@stdlib/stats/base/dists/logistic/skewness",n79
"@stdlib/stats/base/dists/logistic/stdev",D4W
"@stdlib/stats/base/dists/logistic/variance",GfQ
"@stdlib/stats/base/dists/lognormal/cdf",C6y
"@stdlib/stats/base/dists/lognormal/ctor",yUC
"@stdlib/stats/base/dists/lognormal/entropy",FBp
"@stdlib/stats/base/dists/lognormal/kurtosis",KLf
"@stdlib/stats/base/dists/lognormal/logpdf",Nx8
"@stdlib/stats/base/dists/lognormal/mean",cfQ
"@stdlib/stats/base/dists/lognormal/median",B3h
"@stdlib/stats/base/dists/lognormal/mode",OCe
"@stdlib/stats/base/dists/lognormal",gL8
"@stdlib/stats/base/dists/lognormal/pdf",W50
"@stdlib/stats/base/dists/lognormal/quantile",9mD
"@stdlib/stats/base/dists/lognormal/skewness",1vt
"@stdlib/stats/base/dists/lognormal/stdev",u7l
"@stdlib/stats/base/dists/lognormal/variance",XNC
"@stdlib/stats/base/dists/negative-binomial/cdf",X1I
"@stdlib/stats/base/dists/negative-binomial/ctor",MVT
"@stdlib/stats/base/dists/negative-binomial/kurtosis",xYB
"@stdlib/stats/base/dists/negative-binomial/logpmf",5u5
"@stdlib/stats/base/dists/negative-binomial/mean",ppr
"@stdlib/stats/base/dists/negative-binomial/mgf",h0Z
"@stdlib/stats/base/dists/negative-binomial/mode",a1h
"@stdlib/stats/base/dists/negative-binomial",BbA
"@stdlib/stats/base/dists/negative-binomial/pmf",02i
"@stdlib/stats/base/dists/negative-binomial/quantile",lXB
"@stdlib/stats/base/dists/negative-binomial/skewness",Pu0
"@stdlib/stats/base/dists/negative-binomial/stdev",81a
"@stdlib/stats/base/dists/negative-binomial/variance",wlV
"@stdlib/stats/base/dists/normal/cdf",DvQ
"@stdlib/stats/base/dists/normal/ctor",u3w
"@stdlib/stats/base/dists/normal/entropy",iC5
"@stdlib/stats/base/dists/normal/kurtosis",w42
"@stdlib/stats/base/dists/normal/logpdf",ozt
"@stdlib/stats/base/dists/normal/mean",ARm
"@stdlib/stats/base/dists/normal/median",6Mh
"@stdlib/stats/base/dists/normal/mgf",zCD
"@stdlib/stats/base/dists/normal/mode",5oo
"@stdlib/stats/base/dists/normal",TKo
"@stdlib/stats/base/dists/normal/pdf",7kr
"@stdlib/stats/base/dists/normal/quantile",sv1
"@stdlib/stats/base/dists/normal/skewness",Ve6
"@stdlib/stats/base/dists/normal/stdev",lDj
"@stdlib/stats/base/dists/normal/variance",0Y3
"@stdlib/stats/base/dists",JKG
"@stdlib/stats/base/dists/pareto-type1/cdf",dtG
"@stdlib/stats/base/dists/pareto-type1/ctor",HHr
"@stdlib/stats/base/dists/pareto-type1/entropy",SYa
"@stdlib/stats/base/dists/pareto-type1/kurtosis",q7D
"@stdlib/stats/base/dists/pareto-type1/logcdf",Jg2
"@stdlib/stats/base/dists/pareto-type1/logpdf",dQJ
"@stdlib/stats/base/dists/pareto-type1/mean",5y9
"@stdlib/stats/base/dists/pareto-type1/median",XfL
"@stdlib/stats/base/dists/pareto-type1/mode",eB3
"@stdlib/stats/base/dists/pareto-type1",IsT
"@stdlib/stats/base/dists/pareto-type1/pdf",osk
"@stdlib/stats/base/dists/pareto-type1/quantile",qcr
"@stdlib/stats/base/dists/pareto-type1/skewness",SAc
"@stdlib/stats/base/dists/pareto-type1/stdev",YHR
"@stdlib/stats/base/dists/pareto-type1/variance",jyk
"@stdlib/stats/base/dists/poisson/cdf",wAy
"@stdlib/stats/base/dists/poisson/ctor",ybN
"@stdlib/stats/base/dists/poisson/entropy",OmB
"@stdlib/stats/base/dists/poisson/kurtosis",cBe
"@stdlib/stats/base/dists/poisson/logpmf",FxM
"@stdlib/stats/base/dists/poisson/mean",2Sn
"@stdlib/stats/base/dists/poisson/median",InK
"@stdlib/stats/base/dists/poisson/mgf",Lh0
"@stdlib/stats/base/dists/poisson/mode",DcW
"@stdlib/stats/base/dists/poisson",rVg
"@stdlib/stats/base/dists/poisson/pmf",Nhh
"@stdlib/stats/base/dists/poisson/quantile",NJV
"@stdlib/stats/base/dists/poisson/skewness",5Y7
"@stdlib/stats/base/dists/poisson/stdev",wAq
"@stdlib/stats/base/dists/poisson/variance",FjQ
"@stdlib/stats/base/dists/rayleigh/cdf",W2U
"@stdlib/stats/base/dists/rayleigh/ctor",0mm
"@stdlib/stats/base/dists/rayleigh/entropy",7rc
"@stdlib/stats/base/dists/rayleigh/kurtosis",Ej4
"@stdlib/stats/base/dists/rayleigh/logcdf",Ywk
"@stdlib/stats/base/dists/rayleigh/logpdf",GLL
"@stdlib/stats/base/dists/rayleigh/mean",fND
"@stdlib/stats/base/dists/rayleigh/median",dXm
"@stdlib/stats/base/dists/rayleigh/mgf",VIj
"@stdlib/stats/base/dists/rayleigh/mode",axg
"@stdlib/stats/base/dists/rayleigh",MMW
"@stdlib/stats/base/dists/rayleigh/pdf",NjZ
"@stdlib/stats/base/dists/rayleigh/quantile",82s
"@stdlib/stats/base/dists/rayleigh/skewness",049
"@stdlib/stats/base/dists/rayleigh/stdev",5iI
"@stdlib/stats/base/dists/rayleigh/variance",ZCk
"@stdlib/stats/base/dists/signrank/cdf",gYr
"@stdlib/stats/base/dists/signrank",BnC
"@stdlib/stats/base/dists/signrank/pdf",hTq
"@stdlib/stats/base/dists/signrank/quantile",rE6
"@stdlib/stats/base/dists/t/cdf",M1j
"@stdlib/stats/base/dists/t/ctor",oys
"@stdlib/stats/base/dists/t/entropy",Sdb
"@stdlib/stats/base/dists/t/kurtosis",CDs
"@stdlib/stats/base/dists/t/logcdf",i32
"@stdlib/stats/base/dists/t/logpdf",qXE
"@stdlib/stats/base/dists/t/mean",AYn
"@stdlib/stats/base/dists/t/median",y7m
"@stdlib/stats/base/dists/t/mode",Zvz
"@stdlib/stats/base/dists/t",d6E
"@stdlib/stats/base/dists/t/pdf",XS6
"@stdlib/stats/base/dists/t/quantile",iV7
"@stdlib/stats/base/dists/t/skewness",MYe
"@stdlib/stats/base/dists/t/stdev",fJj
"@stdlib/stats/base/dists/t/variance",6lt
"@stdlib/stats/base/dists/triangular/cdf",Y2Z
"@stdlib/stats/base/dists/triangular/ctor",m8w
"@stdlib/stats/base/dists/triangular/entropy",BBe
"@stdlib/stats/base/dists/triangular/kurtosis",URM
"@stdlib/stats/base/dists/triangular/logcdf",DsQ
"@stdlib/stats/base/dists/triangular/logpdf",Mdi
"@stdlib/stats/base/dists/triangular/mean",341
"@stdlib/stats/base/dists/triangular/median",FbM
"@stdlib/stats/base/dists/triangular/mgf",61f
"@stdlib/stats/base/dists/triangular/mode",iYN
"@stdlib/stats/base/dists/triangular",RvF
"@stdlib/stats/base/dists/triangular/pdf",zjA
"@stdlib/stats/base/dists/triangular/quantile",bCz
"@stdlib/stats/base/dists/triangular/skewness",0Th
"@stdlib/stats/base/dists/triangular/stdev",aBY
"@stdlib/stats/base/dists/triangular/variance",QpW
"@stdlib/stats/base/dists/truncated-normal",5fT
"@stdlib/stats/base/dists/truncated-normal/pdf",brd
"@stdlib/stats/base/dists/uniform/cdf",7Dk
"@stdlib/stats/base/dists/uniform/ctor",XMw
"@stdlib/stats/base/dists/uniform/entropy",ng5
"@stdlib/stats/base/dists/uniform/kurtosis",pb2
"@stdlib/stats/base/dists/uniform/logcdf",rou
"@stdlib/stats/base/dists/uniform/logpdf",cGa
"@stdlib/stats/base/dists/uniform/mean",acj
"@stdlib/stats/base/dists/uniform/median",Y1i
"@stdlib/stats/base/dists/uniform/mgf",FWt
"@stdlib/stats/base/dists/uniform",USq
"@stdlib/stats/base/dists/uniform/pdf",G6E
"@stdlib/stats/base/dists/uniform/quantile",UrJ
"@stdlib/stats/base/dists/uniform/skewness",jSA
"@stdlib/stats/base/dists/uniform/stdev",x7F
"@stdlib/stats/base/dists/uniform/variance",NZN
"@stdlib/stats/base/dists/weibull/cdf",gxj
"@stdlib/stats/base/dists/weibull/ctor",OPS
"@stdlib/stats/base/dists/weibull/entropy",9ji
"@stdlib/stats/base/dists/weibull/kurtosis",oAy
"@stdlib/stats/base/dists/weibull/logcdf",zk0
"@stdlib/stats/base/dists/weibull/logpdf",UFE
"@stdlib/stats/base/dists/weibull/mean",Gbt
"@stdlib/stats/base/dists/weibull/median",2Pq
"@stdlib/stats/base/dists/weibull/mgf",R1S
"@stdlib/stats/base/dists/weibull/mode",ucx
"@stdlib/stats/base/dists/weibull",Pp4
"@stdlib/stats/base/dists/weibull/pdf",uIx
"@stdlib/stats/base/dists/weibull/quantile",gy8
"@stdlib/stats/base/dists/weibull/skewness",Ipf
"@stdlib/stats/base/dists/weibull/stdev",wYE
"@stdlib/stats/base/dists/weibull/variance",UTQ
"@stdlib/stats/base/dmax",lS7
"@stdlib/stats/base/dmaxabs",hga
"@stdlib/stats/base/dmaxabssorted",fEF
"@stdlib/stats/base/dmaxsorted",c4p
"@stdlib/stats/base/dmean",EAM
"@stdlib/stats/base/dmeankbn",07g
"@stdlib/stats/base/dmeankbn2",HEt
"@stdlib/stats/base/dmeanli",SuT
"@stdlib/stats/base/dmeanlipw",e6I
"@stdlib/stats/base/dmeanors",Oek
"@stdlib/stats/base/dmeanpn",Eja
"@stdlib/stats/base/dmeanpw",y3c
"@stdlib/stats/base/dmeanstdev",LG3
"@stdlib/stats/base/dmeanstdevpn",uUD
"@stdlib/stats/base/dmeanvar",MIH
"@stdlib/stats/base/dmeanvarpn",HC2
"@stdlib/stats/base/dmeanwd",nVg
"@stdlib/stats/base/dmediansorted",fqu
"@stdlib/stats/base/dmidrange",PX5
"@stdlib/stats/base/dmin",R4l
"@stdlib/stats/base/dminabs",AzF
"@stdlib/stats/base/dminsorted",7Cw
"@stdlib/stats/base/dmskmax",8yD
"@stdlib/stats/base/dmskmin",Fzo
"@stdlib/stats/base/dmskrange",6At
"@stdlib/stats/base/dnanmax",2Z6
"@stdlib/stats/base/dnanmaxabs",muc
"@stdlib/stats/base/dnanmean",1b0
"@stdlib/stats/base/dnanmeanors",KmS
"@stdlib/stats/base/dnanmeanpn",vLe
"@stdlib/stats/base/dnanmeanpw",iAL
"@stdlib/stats/base/dnanmeanwd",R8W
"@stdlib/stats/base/dnanmin",42g
"@stdlib/stats/base/dnanminabs",Ier
"@stdlib/stats/base/dnanmskmax",Jyj
"@stdlib/stats/base/dnanmskmin",nhC
"@stdlib/stats/base/dnanmskrange",Yo3
"@stdlib/stats/base/dnanrange",bbh
"@stdlib/stats/base/dnanstdev",1zl
"@stdlib/stats/base/dnanstdevch",dM7
"@stdlib/stats/base/dnanstdevpn",dOH
"@stdlib/stats/base/dnanstdevtk",oTO
"@stdlib/stats/base/dnanstdevwd",CPy
"@stdlib/stats/base/dnanstdevyc",t3R
"@stdlib/stats/base/dnanvariance",4Wd
"@stdlib/stats/base/dnanvariancech",yeH
"@stdlib/stats/base/dnanvariancepn",L0f
"@stdlib/stats/base/dnanvariancetk",g3u
"@stdlib/stats/base/dnanvariancewd",Aja
"@stdlib/stats/base/dnanvarianceyc",mpB
"@stdlib/stats/base/drange",L6c
"@stdlib/stats/base/dsem",e2K
"@stdlib/stats/base/dsemch",EZ5
"@stdlib/stats/base/dsempn",Zpt
"@stdlib/stats/base/dsemtk",uUr
"@stdlib/stats/base/dsemwd",ayi
"@stdlib/stats/base/dsemyc",qjk
"@stdlib/stats/base/dsmean",seX
"@stdlib/stats/base/dsmeanors",mqZ
"@stdlib/stats/base/dsmeanpn",p29
"@stdlib/stats/base/dsmeanpw",tSH
"@stdlib/stats/base/dsmeanwd",SwJ
"@stdlib/stats/base/dsnanmean",YZU
"@stdlib/stats/base/dsnanmeanors",zyy
"@stdlib/stats/base/dsnanmeanpn",0K9
"@stdlib/stats/base/dsnanmeanwd",3eO
"@stdlib/stats/base/dstdev",ZXI
"@stdlib/stats/base/dstdevch",Ai5
"@stdlib/stats/base/dstdevpn",wnO
"@stdlib/stats/base/dstdevtk",Axo
"@stdlib/stats/base/dstdevwd",Jyw
"@stdlib/stats/base/dstdevyc",yNx
"@stdlib/stats/base/dsvariance",kTF
"@stdlib/stats/base/dsvariancepn",EoS
"@stdlib/stats/base/dvariance",iFD
"@stdlib/stats/base/dvariancech",hCB
"@stdlib/stats/base/dvariancepn",v9Z
"@stdlib/stats/base/dvariancetk",FUS
"@stdlib/stats/base/dvariancewd",FFr
"@stdlib/stats/base/dvarianceyc",QUY
"@stdlib/stats/base/dvarm",vjE
"@stdlib/stats/base/dvarmpn",zjg
"@stdlib/stats/base/dvarmtk",Zzo
"@stdlib/stats/base/max-by",gMY
"@stdlib/stats/base/max",n8y
"@stdlib/stats/base/maxabs",CBC
"@stdlib/stats/base/maxsorted",o8D
"@stdlib/stats/base/mean",Jla
"@stdlib/stats/base/meankbn",l8E
"@stdlib/stats/base/meankbn2",K2j
"@stdlib/stats/base/meanors",62N
"@stdlib/stats/base/meanpn",l9B
"@stdlib/stats/base/meanpw",GYh
"@stdlib/stats/base/meanwd",vpT
"@stdlib/stats/base/mediansorted",ufQ
"@stdlib/stats/base/min-by",KmN
"@stdlib/stats/base/min",EN4
"@stdlib/stats/base/minabs",HSp
"@stdlib/stats/base/minsorted",eke
"@stdlib/stats/base/mskmax",nSw
"@stdlib/stats/base/mskmin",fQY
"@stdlib/stats/base/mskrange",ffP
"@stdlib/stats/base/nanmax-by",yi1
"@stdlib/stats/base/nanmax",UKu
"@stdlib/stats/base/nanmaxabs",GTG
"@stdlib/stats/base/nanmean",ShK
"@stdlib/stats/base/nanmeanors",g8G
"@stdlib/stats/base/nanmeanpn",8dv
"@stdlib/stats/base/nanmeanwd",h3a
"@stdlib/stats/base/nanmin-by",bJj
"@stdlib/stats/base/nanmin",avt
"@stdlib/stats/base/nanminabs",CK3
"@stdlib/stats/base/nanmskmax",7ys
"@stdlib/stats/base/nanmskmin",Y24
"@stdlib/stats/base/nanmskrange",ZJW
"@stdlib/stats/base/nanrange-by",KOY
"@stdlib/stats/base/nanrange",s36
"@stdlib/stats/base/nanstdev",0q9
"@stdlib/stats/base/nanstdevch",nTW
"@stdlib/stats/base/nanstdevpn",KU2
"@stdlib/stats/base/nanstdevtk",ZEH
"@stdlib/stats/base/nanstdevwd",6GJ
"@stdlib/stats/base/nanstdevyc",WWF
"@stdlib/stats/base/nanvariance",InA
"@stdlib/stats/base/nanvariancech",y8u
"@stdlib/stats/base/nanvariancepn",CLG
"@stdlib/stats/base/nanvariancetk",Cjb
"@stdlib/stats/base/nanvariancewd",BUh
"@stdlib/stats/base/nanvarianceyc",2El
"@stdlib/stats/base",b6G
"@stdlib/stats/base/range-by",Dth
"@stdlib/stats/base/range",FdP
"@stdlib/stats/base/scumax",YvH
"@stdlib/stats/base/scumaxabs",uQn
"@stdlib/stats/base/scumin",ePL
"@stdlib/stats/base/scuminabs",jIa
"@stdlib/stats/base/sdsmean",pdN
"@stdlib/stats/base/sdsmeanors",rfG
"@stdlib/stats/base/sdsnanmean",yof
"@stdlib/stats/base/sdsnanmeanors",4qm
"@stdlib/stats/base/smax",IIt
"@stdlib/stats/base/smaxabs",BYE
"@stdlib/stats/base/smaxabssorted",g8Z
"@stdlib/stats/base/smaxsorted",Rhg
"@stdlib/stats/base/smean",mut
"@stdlib/stats/base/smeankbn",S8Z
"@stdlib/stats/base/smeankbn2",MYm
"@stdlib/stats/base/smeanli",pjy
"@stdlib/stats/base/smeanlipw",nbY
"@stdlib/stats/base/smeanors",J3e
"@stdlib/stats/base/smeanpn",DZd
"@stdlib/stats/base/smeanpw",jAk
"@stdlib/stats/base/smeanwd",rkZ
"@stdlib/stats/base/smediansorted",arh
"@stdlib/stats/base/smidrange",D66
"@stdlib/stats/base/smin",LxO
"@stdlib/stats/base/sminabs",pom
"@stdlib/stats/base/sminsorted",5Ml
"@stdlib/stats/base/smskmax",CkJ
"@stdlib/stats/base/smskmin",qsF
"@stdlib/stats/base/smskrange",4H9
"@stdlib/stats/base/snanmax",Kj3
"@stdlib/stats/base/snanmaxabs",qRr
"@stdlib/stats/base/snanmean",kMq
"@stdlib/stats/base/snanmeanors",I2H
"@stdlib/stats/base/snanmeanpn",YzB
"@stdlib/stats/base/snanmeanwd",WBU
"@stdlib/stats/base/snanmin",qfj
"@stdlib/stats/base/snanminabs",JzN
"@stdlib/stats/base/snanmskmax",kbj
"@stdlib/stats/base/snanmskmin",Bz6
